document_name,approach,agent_name,agent_number,run_index,start_time,end_time,latency_seconds,document_load_seconds,gemini_api_latency_seconds,total_agent_latency_seconds,input_token_count,output_token_count,total_token_count,model_name,success,error_message
dc1.png,A,document_extraction,1,0,2026-09-16T18:06:46.569766+00:00,2026-09-16T18:06:48.673907+00:00,2.1043195409984037,0.00033387499934178777,2.103985665999062,2.1043195409984037,1132,184,1316,gemini-3.5-flash-lite,True,
dc1.png,A,document_classification,2,0,2026-09-16T18:06:48.674047+00:00,2026-09-16T18:06:49.401095+00:00,0.7270414160011569,0.0,0.7270414160011569,0.7270414160011569,234,1,235,gemini-3.5-flash-lite,True,
dc1.png,A,schema_extraction,3,0,2026-09-16T18:06:49.401142+00:00,2026-09-16T18:06:50.579419+00:00,1.1782687909981178,0.0,1.1782687909981178,1.1782687909981178,247,110,357,gemini-3.5-flash-lite,True,
dc2.png,A,document_extraction,1,0,2026-09-16T18:06:50.581275+00:00,2026-09-16T18:06:52.223246+00:00,1.6434440830016683,0.001487292000092566,1.6419567910015758,1.6434440830016683,1144,168,1312,gemini-3.5-flash-lite,True,
dc2.png,A,document_classification,2,0,2026-09-16T18:06:52.223360+00:00,2026-09-16T18:06:53.176967+00:00,0.9535972090016003,0.0,0.9535972090016003,0.9535972090016003,218,1,219,gemini-3.5-flash-lite,True,
dc2.png,A,schema_extraction,3,0,2026-09-16T18:06:53.177073+00:00,2026-09-16T18:06:54.255139+00:00,1.0780564160013455,0.0,1.0780564160013455,1.0780564160013455,231,101,332,gemini-3.5-flash-lite,True,
dc1.png,B,document_extraction,1,0,2026-09-16T18:06:54.255927+00:00,2026-09-16T18:06:56.006140+00:00,1.7506855409992568,0.00048679099927539937,1.7501987499999814,1.7506855409992568,1149,24,1173,gemini-3.5-flash-lite,True,
dc1.png,B,document_classification,2,0,2026-09-16T18:06:56.006922+00:00,2026-09-16T18:06:57.617311+00:00,1.6108930409973254,0.0005154579994268715,1.6103775829978986,1.6108930409973254,1118,1,1119,gemini-3.5-flash-lite,True,
dc1.png,B,schema_extraction,3,0,2026-09-16T18:06:57.618163+00:00,2026-09-16T18:06:59.460839+00:00,1.8432099999990896,0.0005463749985210598,1.8426636250005686,1.8432099999990896,1131,98,1229,gemini-3.5-flash-lite,True,
dc2.png,B,document_extraction,1,0,2026-09-16T18:06:59.461734+00:00,2026-09-16T18:07:00.956979+00:00,1.4956802929991682,0.0004470839994610287,1.4952332089997071,1.4956802929991682,1161,24,1185,gemini-3.5-flash-lite,True,
dc2.png,B,document_classification,2,0,2026-09-16T18:07:00.957487+00:00,2026-09-16T18:07:01.948130+00:00,0.9909887909998361,0.00035741600004257634,0.9906313749997935,0.9909887909998361,1130,1,1131,gemini-3.5-flash-lite,True,
dc2.png,B,schema_extraction,3,0,2026-09-16T18:07:01.948637+00:00,2026-09-16T18:07:02.991541+00:00,1.0432194170025468,0.00032654200185788795,1.042892875000689,1.0432194170025468,1143,94,1237,gemini-3.5-flash-lite,True,
